date,is_weekend,is_public_holiday
2023-03-17,False,False
2023-03-18,True,False
2023-03-19,True,False
2023-03-20,False,False
2023-03-21,False,False
2023-03-22,False,False
2023-03-23,False,False
2023-03-24,False,False
2023-03-25,True,False
2023-03-26,True,False
2023-03-27,False,False
2023-03-28,False,False
2023-03-29,False,False
2023-03-30,False,False
2023-03-31,False,False
2023-04-01,True,False
2023-04-02,True,False
2023-04-03,False,False
2023-04-04,False,False
2023-04-05,False,False
2023-04-06,False,False
2023-04-07,False,True
2023-04-08,True,False
2023-04-09,True,True
2023-04-10,False,False
2023-04-11,False,False
2023-04-12,False,False
2023-04-13,False,False
2023-04-14,False,False
2023-04-15,True,False
2023-04-16,True,False
2023-04-17,False,False
2023-04-18,False,False
2023-04-19,False,False
2023-04-20,False,False
2023-04-21,False,False
2023-04-22,True,False
2023-04-23,True,False
2023-04-24,False,False
2023-04-25,False,True
2023-04-26,False,False
2023-04-27,False,False
2023-04-28,False,False
2023-04-29,True,False
2023-04-30,True,False
2023-05-01,False,True
2023-05-02,False,False
2023-05-03,False,False
2023-05-04,False,False
2023-05-05,False,False
2023-05-06,True,False
2023-05-07,True,False
2023-05-08,False,False
2023-05-09,False,False
2023-05-10,False,False
2023-05-11,False,False
2023-05-12,False,False
2023-05-13,True,False
2023-05-14,True,False
2023-05-15,False,False
2023-05-16,False,False
2023-05-17,False,False
2023-05-18,False,False
2023-05-19,False,False
2023-05-20,True,False
2023-05-21,True,False
2023-05-22,False,False
2023-05-23,False,False
2023-05-24,False,False
2023-05-25,False,False
2023-05-26,False,False
2023-05-27,True,False
2023-05-28,True,False
2023-05-29,False,False
2023-05-30,False,False
2023-05-31,False,False
2023-06-01,False,False
2023-06-02,False,False
2023-06-03,True,False
2023-06-04,True,False
2023-06-05,False,False
2023-06-06,False,False
2023-06-07,False,False
2023-06-08,False,True
2023-06-09,False,False
2023-06-10,True,True
2023-06-11,True,False
2023-06-12,False,False
2023-06-13,False,False
2023-06-14,False,False
2023-06-15,False,False
2023-06-16,False,False
2023-06-17,True,False
2023-06-18,True,False
2023-06-19,False,False
2023-06-20,False,False
2023-06-21,False,False
2023-06-22,False,False
2023-06-23,False,False
2023-06-24,True,False
2023-06-25,True,False
2023-06-26,False,False
2023-06-27,False,False
2023-06-28,False,False
2023-06-29,False,False
2023-06-30,False,False
